00320,"Ultimate carbonaceous biochemical oxygen demand, water, unfiltered, 20 degrees Celsius, milligrams per liter",Not checked,"Carbonaceous biochemical oxygen demand, non-standard conditions",mg/l,Total,20 deg C,,Ultimate,,
00321,"Ultimate nitrogenous biochemical oxygen demand, water, unfiltered, milligrams per liter",Not checked,Nitrogenous biochemical oxygen demand,mg/l,Total,,,Ultimate,,
00324,"Biochemical oxygen demand, water, unfiltered, 20 days at 20 degrees Celsius, milligrams per liter",Not checked,"Biochemical oxygen demand, non-standard conditions",mg/l,Total,20 deg C,,20 Day,,
00335,"Chemical oxygen demand, low level, water, unfiltered, milligrams per liter",Not checked,"Chemical oxygen demand, (low level)",mg/l,Total,,,,,
00339,"Chemical oxygen demand, bed sediment, total, dry weight, milligrams per kilogram",Not checked,Chemical oxygen demand,mg/kg,Bed Sediment,,,,Dry,
00340,"Chemical oxygen demand, high level, water, unfiltered, milligrams per liter",Not checked,"Chemical oxygen demand, (high level)",mg/l,Total,,,,,
00349,"Biochemical oxygen demand, water, unfiltered, 30 days at 20 degrees Celsius, milligrams per liter",Not checked,"Biochemical oxygen demand, non-standard conditions",mg/l,Total,20 deg C,,30 Day,,
00359,"Biochemical oxygen demand, water, filtered, 5 days at 20 degrees Celsius, milligrams per liter",Agree,"Biochemical oxygen demand, standard conditions",mg/l,Dissolved,20 deg C,,5 Day,,
00400,"pH, water, unfiltered, field, standard units",Agree,pH,std units,Total,,,,,
00402,"Specific conductance, non-temperature corrected, water, unfiltered, microsiemens per centimeter",Agree,Specific conductance,uS/cm,Total,,,,,
00403,"pH, water, unfiltered, laboratory, standard units",Agree,"pH, lab",std units,Total,,,,,
00405,"Carbon dioxide, water, unfiltered, milligrams per liter",Agree,Carbon dioxide,mg/l,Total,,,,,
00409,"Acid neutralizing capacity, water, unfiltered, Gran titration, microequivalents per liter",Agree,Alkalinity,ueq/L,Total,,,,,
00410,"Acid neutralizing capacity, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
00411,"Acid neutralizing capacity, water, unfiltered, methyl orange endpoint (pH 3.1-4.4) titration, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
00413,"Acid neutralizing capacity, water, unfiltered, Gran titration, milligrams per liter as calcium carbonate",Agree,Alkalinity,mg/l CaCO3,Total,,,,,
00415,"Acid neutralizing capacity, water, unfiltered, phenolphthalein endpoint (pH 8.5-9.0) titration, milligrams per liter as calcium carbonate",Not checked,Alkalinity,mg/l CaCO3,Total,,,,,
